date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:03:26	633/633	---MCZ	200	added ('OK')	text/plain	date:Mon,%2002%20Mar%202026%2017:33:26%20GMT	https://holi-site-demo.pages.dev/robots.txt		(from )
23:03:26	10281/10281	---MCZ	200	added ('OK')	text/html	etag:W/%2290798adbabd4d8abcaae073c5d0533c2%22	https://holi-site-demo.pages.dev/	E:/My%20Other/Holi/holi-site-demo.pages.dev/index.html	(from )
23:03:27	41236/41236	---M--	200	added ('OK')	font/woff2	etag:%222829f65454b57d33a807e4da673c47fd%22	https://holi-site-demo.pages.dev/_next/static/media/017d9bea37084d9b-s.p.a6d6de71.woff2	E:/My%20Other/Holi/holi-site-demo.pages.dev/_next/static/media/017d9bea37084d9b-s.p.a6d6de71.woff2	(from https://holi-site-demo.pages.dev/)
23:03:27	47484/47484	---MCZ	200	added ('OK')	text/css	etag:W/%22cd4c1d90776b6a4551f4da7eb53c453b%22	https://holi-site-demo.pages.dev/_next/static/chunks/1bef54efe830590f.css	E:/My%20Other/Holi/holi-site-demo.pages.dev/_next/static/chunks/1bef54efe830590f.css	(from https://holi-site-demo.pages.dev/)
23:03:27	13280/13280	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d10957d403f6d7edbfefdaf249949de1%22	https://holi-site-demo.pages.dev/_next/static/chunks/4b9eae0c8dc7e975.js	E:/My%20Other/Holi/holi-site-demo.pages.dev/_next/static/chunks/4b9eae0c8dc7e975.js	(from https://holi-site-demo.pages.dev/)
23:03:27	224636/224636	---MCZ	200	added ('OK')	application/javascript	etag:W/%2228ef14db5f54a28bfb43e0d067688698%22	https://holi-site-demo.pages.dev/_next/static/chunks/f2f58a7e93290fbb.js	E:/My%20Other/Holi/holi-site-demo.pages.dev/_next/static/chunks/f2f58a7e93290fbb.js	(from https://holi-site-demo.pages.dev/)
23:03:28	160721/160721	---MCZ	200	added ('OK')	application/javascript	etag:W/%22419b4fbab579bac6433405c3dfcbea14%22	https://holi-site-demo.pages.dev/_next/static/chunks/6eb1bac6b57023f6.js	E:/My%20Other/Holi/holi-site-demo.pages.dev/_next/static/chunks/6eb1bac6b57023f6.js	(from https://holi-site-demo.pages.dev/)
23:03:28	10196/10196	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fd183c0e219a9ff2ae127dc7d63231f9%22	https://holi-site-demo.pages.dev/_next/static/chunks/turbopack-da1d1c3932c9a2c7.js	E:/My%20Other/Holi/holi-site-demo.pages.dev/_next/static/chunks/turbopack-da1d1c3932c9a2c7.js	(from https://holi-site-demo.pages.dev/)
23:03:28	30849/30849	---MCZ	200	added ('OK')	application/javascript	etag:W/%2284ab79c9075471f8dc5e699b763e4815%22	https://holi-site-demo.pages.dev/_next/static/chunks/2f236954d6a65e12.js	E:/My%20Other/Holi/holi-site-demo.pages.dev/_next/static/chunks/2f236954d6a65e12.js	(from https://holi-site-demo.pages.dev/)
23:03:28	139100/139100	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b07061fd77b84966a59525562ade108a%22	https://holi-site-demo.pages.dev/_next/static/chunks/1e560e22bcf41304.js	E:/My%20Other/Holi/holi-site-demo.pages.dev/_next/static/chunks/1e560e22bcf41304.js	(from https://holi-site-demo.pages.dev/)
23:03:28	16958/16958	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22b02eabd4675bc12321c5ca8c220d7dd5%22	https://holi-site-demo.pages.dev/favicon.ico?favicon.df9e14ff.ico	E:/My%20Other/Holi/holi-site-demo.pages.dev/favicon83fe.ico	(from https://holi-site-demo.pages.dev/)
23:03:29	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ffcb815f2cb3d53f8f0cd145af8e6864%22	https://holi-site-demo.pages.dev/_next/static/chunks/a6dad97d9634a72d.js	E:/My%20Other/Holi/holi-site-demo.pages.dev/_next/static/chunks/a6dad97d9634a72d.js	(from https://holi-site-demo.pages.dev/)
23:03:30	8652/8652	---M--	200	added ('OK')	font/woff2	etag:%2244f7708f175dd1420800d9a32a47cf92%22	https://holi-site-demo.pages.dev/_next/static/media/033400d475fad6b1-s.a188d1ff.woff2	E:/My%20Other/Holi/holi-site-demo.pages.dev/_next/static/media/033400d475fad6b1-s.a188d1ff.woff2	(from https://holi-site-demo.pages.dev/_next/static/chunks/1bef54efe830590f.css)
23:03:30	18740/18740	---M--	200	added ('OK')	font/woff2	etag:%226987dbf3e9d0f4fd3a08a887a768f71e%22	https://holi-site-demo.pages.dev/_next/static/media/26daee0352f50a5f-s.d9ee93eb.woff2	E:/My%20Other/Holi/holi-site-demo.pages.dev/_next/static/media/26daee0352f50a5f-s.d9ee93eb.woff2	(from https://holi-site-demo.pages.dev/_next/static/chunks/1bef54efe830590f.css)
